Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
27	NCT03225482	Cognitive Rehabilitation Therapy for Mild Cognitive Impairment		Recruiting	No Results Available	Mild Cognitive Impairment	Behavioral: Motivationally Enhanced Compensatory Cognitive Training|Behavioral: Goal-focused Supportive Contact	Change in Objective cognitive performance composite z score|Change in Functional capacity performance composite z score|Change in Subjective Everyday Functioning Composite Score (Average total score across Applied Cognition Executive Function and Applied Cognition General Concerns scales)|Change in Everyday Cognition Scale|Change in Cognitive Activity Inventory|Change in CHAMPS Physical Activity Questionnaire for Older Adults|Change in Portland Cognitive Strategies Scale|Change in Fitbit-measured physical activity level|Change in Fitbit-measured sleep efficiency	VA Office of Research and Development|Portland VA Medical Center	All	55 Years and older   (Adult, Older Adult)	Not Applicable	216	U.S. Fed	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	NURD-019-16F|I01CX001592	July 11, 2018	March 31, 2023	December 30, 2023	July 21, 2017		January 20, 2022	VA San Diego Healthcare System, San Diego, CA, San Diego, California, United States|VA Portland Health Care System, Portland, OR, Portland, Oregon, United States		https://ClinicalTrials.gov/show/NCT03225482
28	NCT00934375	A 28-Week Open Label Extension Study Evaluating Safety and Tolerability of Donepezil Hydrochloride in Subjects With Mild Cognitive Impairment		Completed	Has Results	Mild Cognitive Impairment	Drug: Aricept (donepezil hydrochloride)|Drug: placebo	Number of Participants With Treatment-Emergent Adverse Events	Eisai Inc.	All	45 Years to 90 Years   (Adult, Older Adult)	Phase 4	145	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	E2020-A001-414	February 2006	September 2007	September 2007	July 8, 2009	July 8, 2009	January 14, 2014	Neurology Neurodiagnostic Lab, LLC, Alabaster, Alabama, United States|Pivotal Research Centers, Peoria, Arizona, United States|Sun Health Research Institute, Sun City, Arizona, United States|Northwest Neurospecialists, PLLC, Tucson, Arizona, United States|The Neurology Center, Encinitas, California, United States|Margolin Brain Institute, Fresno, California, United States|Colaborative Neuroscience Network (CNS Network), Garden Grove, California, United States|Nerve Pro Research, Irvine, California, United States|Optimum Health Services, La Mesa, California, United States|Pacific Research Network, San Diego, California, United States|Neurological Research Institute, Santa Monica, California, United States|CA Neuroscience Research, Sherman Oaks, California, United States|Pacific Research Network, Vista, California, United States|Yale University Alzheimers Disease Research Unit School of Medicine Department of Psychiatry, New Haven, Connecticut, United States|North Broward Medical Center Memory Disorder Center, Deerfield Beach, Florida, United States|Neurologic Consultants, Ft. Lauderdale, Florida, United States|Berma Research Group, Hialeah, Florida, United States|Sunrise Clinical Research, Hollywood, Florida, United States|Wien Center for Memory Disorders, Mount Sinai Medical Center, Miami Beach, Florida, United States|Berma Research Group, Plantation, Florida, United States|The Roskamp Institute, Sarasota, Florida, United States|Comprehensive Neuroscience, Inc., St. Petersburg, Florida, United States|Stedman Clinical Trials, LLC, Tampa, Florida, United States|USF Memory Disorder's Clinic, Tampa, Florida, United States|USF Suncoast Gerontalogy Center, Tampa, Florida, United States|Center for Clinical Trials. L.C., Venice, Florida, United States|Palm Beach Neurology, West Palm Beach, Florida, United States|Lexington Clinic, Lexington, Kentucky, United States|Borgess Research Institute, Kalamazoo, Michigan, United States|St. Louis University - Clinical Trials Unit, St. Louis, Missouri, United States|Comprehensive Neuroscience, Inc, Kenilworth, New Jersey, United States|Neurological Associates of Albany, PC Neurology, Albany, New York, United States|Neurobehavioral Research Inc., Lawrence, New York, United States|New York University School of Medicine Aging and Dementia Research Center, New York, New York, United States|Columbia University, New York, New York, United States|Monroe Community Hospital Program in Neurobehavioral Therapeutics, Rochester, New York, United States|Behavioral Medical Research of Staten Island, Staten Island, New York, United States|The Ohio State University, Columbus, Ohio, United States|Neurology Center of Ohio, Toledo, Ohio, United States|Pahl Pharmaceutical Research, LLC, Oklahoma City, Oklahoma, United States|Summit Research Network(Oregon) Inc., Portland, Oregon, United States|Clinical Trial Specialists, Bala Cynwyd, Pennsylvania, United States|Westmoreland Neurology Associates, Greensburg, Pennsylvania, United States|The Clinical Trial Center, LLC, Jenkintown, Pennsylvania, United States|Medical University of South Carolina-Alzheimer's Research, Charleston, South Carolina, United States|The University of Texas Mental Sciences Instittute, Houston, Texas, United States|START Center, San Antonio, Texas, United States|Grayline Clinical Drug Trials, Wichita Falls, Texas, United States|Southwestern Vermont Medical Center - The Memory Clinc, Bennington, Vermont, United States		https://ClinicalTrials.gov/show/NCT00934375
29	NCT05022186	The Effects of Cannabidiol and Homotaurine in Patients With Mild Cognitive Impairment		Recruiting	No Results Available	Mild Cognitive Impairment	Drug: Cannabidiol Oil|Drug: Homotaurine	Changes in Mini Mental State Examination (MMSE) score|Changes in Montreal Cognitive Assessment (MoCA) score|Changes in Functional Cognitive Assessment (FUCAS) score|Changes in Letter & Category Verbal Fluency|Changes in Clinical Dementia Rating Scale score|Changes in ADAS-COG|Changes in Rey Auditory Verbal Learning Test|Changes in Rey Osterrieth Complex Figure|Changes in Functional Rating Scale for Dementia|Changes in Trail Making Test A & B|Changes in Geriatric Depression Scale|Changes in SAST|Changes in Beck Anxiety Inventory|Changes in Rivermead Behavioural Memory Test|Changes in STROOP Test|Changes in Symbol-Digit Test|Changes in BDNF|Changes in MDA|Changes in GFAP|Changes in Tau-protein	Aristotle University Of Thessaloniki|Greek Alzheimer's Association and Related Disorders	All	65 Years to 85 Years   (Older Adult)	Phase 4	90	Other	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	65/06-02-2021	April 1, 2021	December 20, 2022	December 20, 2022	August 26, 2021		August 26, 2021	Greek Association of Alzheimer's Disease and Related Disorders, Thessaloniki, Greece		https://ClinicalTrials.gov/show/NCT05022186
30	NCT02512627	Evolving Methods to Combine Cognitive and Physical Training for Individuals With Mild Cognitive Impairment		Completed	No Results Available	Mild Cognitive Impairment	Behavioral: Cognitive training|Behavioral: Physical exercise	Change scores of Montreal Cognitive Assessment (MoCA)|Change scores of Stroop test|Change scores of Dual-task test|Change scores of Timed up and go (TUG) test|Change scores of the Verbal Fluency Test|Change scores of the Useful Field of View (UFOV)|Change scores of the 30 second chair stand test (CST)|Change scores of the Chinese version of the International Physical Activity Questionnaires (IPAQ)|Change scores of the Barthel Index (BI)|Change scores of the Lawton Instrumental Activities of Daily Living Scale|Change scores of the Disability Assessment for Dementia (DAD)|Change scores of the Quality of Life in Alzheimer's Disease Instrument (QoLAD)|Change scores of the Caregiver Burden Inventory (CBI)|Change scores of the Geriatric Depression Scale (GDS)|Change scores of the Community Integration Questionnaire (CIQ)|Change scores of the ActiGraph GX3 accelerometers Change scores of the ActiGraph|Change scores of evaluating isometric knee flexors and extensors muscle strength|Change scores of using hand dynamometer to measure grip strength of both hand|Change scores of Wechsler Memory Scale - Third Edition (WMS-III)|Change scores of Wechsler Adult Intelligence Scale - Third Edition (WAIS-III)|BDNF val66met genotype	Chang Gung Memorial Hospital	All	20 Years and older   (Adult, Older Adult)	Not Applicable	55	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	103-6651A3	January 30, 2015	January 29, 2018	March 13, 2019	July 31, 2015		July 12, 2019	Baliexcelsior Nursing Home, New Taipei City, Taiwan|Pine nursing home, Taichung, Taiwan|Zhishan community home, Taipei, Taiwan|Bailing clinics and nursing homes, Taipei, Taiwan|Shihlin cum day care center, Taipei, Taiwan|Xihu day care center, Taipei, Taiwan|TaoSheng Nursing home, Taipei, Taiwan|Chang Gung Memorial Hospital, Taoyuan, Taiwan|Chang Gung Memorial Hospital Taoyuan Branch, Taoyuan, Taiwan		https://ClinicalTrials.gov/show/NCT02512627
31	NCT03493178	Glutathione in Mild Cognitive Impairment		Recruiting	No Results Available	Mild Cognitive Impairment	Dietary Supplement: Glycine|Dietary Supplement: N-acetylcysteine (NAC)|Dietary Supplement: Alanine	Cognition|Concentrations of Glutathione, cysteine, glycine, glutamic acid|Concentrations of malondialdehyde, F2,F3 isoprostanes|Endothelial function markers sICAM, sVCAM, E-selectin|Endothelial function|Mitochondrial fuel oxidation in fasted and fed states	Baylor College of Medicine|The Methodist Hospital Research Institute	All	55 Years to 85 Years   (Adult, Older Adult)	Early Phase 1	60	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Other	H42035: Glutathione in MCI	April 14, 2018	May 31, 2023	December 31, 2023	April 10, 2018		February 11, 2022	Baylor College of Medicine, Houston, Texas, United States		https://ClinicalTrials.gov/show/NCT03493178
32	NCT01843283	Meaningful Activity Intervention for Persons With Mild Cognitive Impairment		Completed	No Results Available	Mild Cognitive Impairment	Behavioral: Daily Enhancement Meaningful Activity (DEMA)|Behavioral: Information Support (IS)	Patient_Depression symptoms: Patient Health Questionnaire Depression Scale (PHQ-9)|Patient_satisfaction with communication: The subscale of Communication and Affective Responsiveness|Patient_Physical Function: Alzheimer disease cooperative study activities of daily living inventory.|Patient_Life satisfaction : Life Satisfaction Index for the Third Age-Short Form|Patient_Satisfaction with program: Satisfaction with Meaningful Activity Program Scale is adapted from the Caregiver Satisfaction Scale|Patient_ Meaningful activities engagement performance and satisfaction: Canadian Occupational Performance Measure & weekly log|Patient_Sense of confidence: Confidence Scale|Caregiver_Depressive Symptoms: PHQ-9|Caregiver_ Caregiver life changes: Caregiving Outcomes Scale|Caregiver_- Satisfaction with program: Satisfaction with Meaningful Activity Program Scale is adapted from the Caregiver Satisfaction Scale	Indiana University	All	21 Years to 95 Years   (Adult, Older Adult)	Phase 1	80	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Supportive Care	1R21NR013755-01	July 2012	March 2015	May 2016	April 30, 2013		October 25, 2016	Indiana University School of Nursing, Indianapolis, Indiana, United States		https://ClinicalTrials.gov/show/NCT01843283
33	NCT01962038	A Combined Training Program for Veterans With Amnestic Mild Cognitive Impairment		Completed	No Results Available	Amnestic Mild Cognitive Impairment	Behavioral: Combined Aerobic and Resistance Exercise|Behavioral: Stretching Exercises|Behavioral: Cognitive Training	Change from Baseline to 28 weeks in delayed recall of a word list|Change from Baseline to 28 weeks in Delayed Recall of Names-Face Task|Non-Cognitive Outcomes (Depression, Sleep, Quality of Life)	Palo Alto Veterans Institute for Research|U.S. Army Medical Research and Development Command	All	50 Years to 90 Years   (Adult, Older Adult)	Not Applicable	72	Other|U.S. Fed	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	FAI0002AGG	May 2013	July 2017	November 2017	October 14, 2013		April 5, 2018	VA Palo Alto Health Care System, Palo Alto, California, United States		https://ClinicalTrials.gov/show/NCT01962038
34	NCT04027725	NEUROFEEDBACK TRAINING FOR OLDER ADULTS WITH MILD COGNITIVE IMPAIRMENT: A PILOT STUDY	NEUROFEEDEL	Unknown status	No Results Available	Mild Cognitive Impairment	Behavioral: Neurofeedback	Change on Rey Auditory Verbal Learning test|relative power for delta, theta, alpha, sensorimotor and lower beta frequency bands.	Assistance Publique - Hôpitaux de Paris	All	65 Years to 90 Years   (Older Adult)	Not Applicable	30	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Prevention	K170908J|2017-A02933-50	November 2019	May 2021	November 2021	July 22, 2019		October 21, 2019	Hopital BROCA, Paris, France		https://ClinicalTrials.gov/show/NCT04027725
35	NCT02670850	Intervention Program for Patients With Mild Cognitive Impairment		Completed	No Results Available	Mild Cognitive Impairment	Other: Family Caregiver Intervention Program	Caregivers' preparedness was measured by the 10-item Caregiver Preparedness Scale.|Caregivers' competence was measured by the 17-item Competence Scale.|Caregivers' quality of life was measured by the The 36-Item Short Form Health Survey (SF-36).|Caregivers' depressive symptoms was measured by the the Center for Epidemiologic Studies Depression Scale.	Chang Gung Memorial Hospital|Ministry of Science and Technology, Taiwan	All	65 Years and older   (Older Adult)	Not Applicable	60	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Supportive Care	NSC102-2314-B-182-051-MY3	August 1, 2013	July 31, 2016	July 31, 2016	February 2, 2016		February 3, 2017	Chang Gung Memorial Hospital, Taoyuan, Taiwan		https://ClinicalTrials.gov/show/NCT02670850
36	NCT03195816	A Computer-based Cognitive Stimulation in Mild Cognitive Impairment With White Matter Hyperintensities		Unknown status	No Results Available	Mild Cognitive Impairment	Behavioral: Computerized Cognitive training	Change on Rey Auditory Verbal Learning test|Change on Fazekas scale	Leila DJABELKHIR|Broca Hospital	All	60 Years and older   (Adult, Older Adult)	Not Applicable	90	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Prevention	LUS3WMH	January 2018	December 2018	March 2019	June 22, 2017		June 22, 2017			https://ClinicalTrials.gov/show/NCT03195816
