drug	status	target	atc
guanine	non		
cyclic adenosine monophosphate	non		
mesoheme	non		
guanosine	non		
ribose-1-phosphate	non		
flavin adenine dinucleotide	non		
hypoxanthine	non		
pyrophosphoric acid	non		
maleic acid	non		
inosine	non		
2'-deoxyguanosine-5'-monophosphate	non		
tetrahydrofolic acid	non		
aspartic acid	non		
l-glutamine	non		
adenosine phosphate	non		
glutamic acid	non		
glycine	non		
nadh	non		
atp	non		
adenine	non		
adenosine	non		
potassium cation	non		
calcium	non		
magnesium cation	non		
zinc	non		
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non		
aica ribonucleotide	non		
guanosine-5'-monophosphate	non		
xanthine	non		
guanine	non		
cyclic adenosine monophosphate	non		
mesoheme	non		
guanosine	non		
ribose-1-phosphate	non		
flavin adenine dinucleotide	non		
hypoxanthine	non		
pyrophosphoric acid	non		
maleic acid	non		
inosine	non		
2'-deoxyguanosine-5'-monophosphate	non		
tetrahydrofolic acid	non		
ademetionine	non		
aspartic acid	non		
l-glutamine	non		
adenosine phosphate	non		
glutamic acid	non		
glycine	non		
nadh	non		
atp	non		
adenine	non		
adenosine	non		
mercaptopurine	non		
potassium cation	non		
calcium	non		
magnesium cation	non		
zinc	non		
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non		
aica ribonucleotide	non		
guanosine-5'-monophosphate	non		
xanthine	non		
guanine	non		
cyclic adenosine monophosphate	non		
mesoheme	non		
guanosine	non		
ribose-1-phosphate	non		
flavin adenine dinucleotide	non		
hypoxanthine	non		
pyrophosphoric acid	non		
maleic acid	non		
inosine	non		
2'-deoxyguanosine-5'-monophosphate	non		
tetrahydrofolic acid	non		
aspartic acid	non		
l-glutamine	non		
adenosine phosphate	non		
glutamic acid	non		
glycine	non		
nadh	non		
atp	non		
adenine	non		
adenosine	non		
potassium cation	non		
calcium	non		
magnesium cation	non		
zinc	non		
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non		
aica ribonucleotide	non		
guanosine-5'-monophosphate	non		
xanthine	non		
guanine	non		
cyclic adenosine monophosphate	non		
mesoheme	non		
guanosine	non		
ribose-1-phosphate	non		
flavin adenine dinucleotide	non		
hypoxanthine	non		
pyrophosphoric acid	non		
maleic acid	non		
inosine	non		
2'-deoxyguanosine-5'-monophosphate	non		
pyridoxal phosphate	non		
tetrahydrofolic acid	non		
glutamic acid	non		
nadh	non		
folic acid	non		
atp	non		
leucovorin	non		
calcium	non		
magnesium cation	non		
formic acid	non		
flavin adenine dinucleotide	non		
pyridoxal phosphate	non		
tetrahydrofolic acid	non		
ademetionine	non		
choline	non		
serine	non		
methionine	non		
glycine	non		
nadh	non		
atp	non		
potassium cation	non		
magnesium cation	non		
zinc	non		
n,n-dimethylglycine	non		
flavin adenine dinucleotide	non		
pyrophosphoric acid	non		
betaine aldehyde	non		
pyridoxal phosphate	non		
tetrahydrofolic acid	non		
glutamic acid	non		
nadh	non		
folic acid	non		
atp	non		
leucovorin	non		
calcium	non		
magnesium cation	non		
formic acid	non		
flavin adenine dinucleotide	non		
tetrahydrofolic acid	non		
aspartic acid	non		
l-glutamine	non		
adenosine phosphate	non		
glutamic acid	non		
glycine	non		
nadh	non		
atp	non		
adenine	non		
adenosine	non		
potassium cation	non		
calcium	non		
magnesium cation	non		
zinc	non		
5-o-phosphono-alpha-d-ribofuranosyl diphosphate	non		
aica ribonucleotide	non		
guanosine-5'-monophosphate	non		
xanthine	non		
guanine	non		
cyclic adenosine monophosphate	non		
mesoheme	non		
guanosine	non		
ribose-1-phosphate	non		
flavin adenine dinucleotide	non		
hypoxanthine	non		
pyrophosphoric acid	non		
maleic acid	non		
inosine	non		
2'-deoxyguanosine-5'-monophosphate	non		
pyridoxal phosphate	non		
tetrahydrofolic acid	non		
ademetionine	non		
pyruvic acid	non		
arginine	non		
adenosine phosphate	non		
serine	non		
methionine	non		
glutamic acid	non		
glycine	non		
creatine	non		
cysteine	non		
nadh	non		
alanine	non		
atp	non		
aminolevulinic acid	non		
magnesium cation	non		
zinc	non		
n,n-dimethylglycine	non		
glycocyamine	non		
3-hydroxypyruvic acid	non		
orotidylic acid	non		
flavin adenine dinucleotide	non		
pyruvaldehyde	non		
formaldehyde	non		
2-amino-3-ketobutyric acid	non		
d-serine	non		
pyrophosphoric acid	non		
glyoxylic acid	non		
dexfosfoserine	non		
2-oxobutanoic acid	non		
pyridoxal phosphate	non		
tetrahydrofolic acid	non		
ademetionine	non		
choline	non		
adenosine phosphate	non		
serine	non		
methionine	non		
glycine	non		
cysteine	non		
nadh	non		
atp	non		
adenosine	non		
potassium cation	non		
magnesium cation	non		
zinc	non		
putrescine	non		
n,n-dimethylglycine	non		
4-methylthio-2-oxobutanoic acid	non		
flavin adenine dinucleotide	non		
spermidine	non		
pyrophosphoric acid	non		
l-homoserine	non		
2-oxobutanoic acid	non		
tetrahydrofolic acid	non		
histidine	non		
adenosine phosphate	non		
methionine	non		
leucine	non		
threonine	non		
alanine	non		
valine	non		
isoleucine	non		
atp	non		
proline	non		
asparagine	non		
azithromycin	non		
guanosine-5'-monophosphate	non		
cytidine-5'-triphosphate	non		
uridine monophosphate	non		
d-serine	non		
pyrophosphoric acid	non		
histidine	non		
adenosine phosphate	non		
methionine	non		
leucine	non		
threonine	non		
alanine	non		
valine	non		
isoleucine	non		
atp	non		
proline	non		
asparagine	non		
clindamycin	non		
guanosine-5'-monophosphate	non		
cytidine-5'-triphosphate	non		
uridine monophosphate	non		
d-serine	non		
pyrophosphoric acid	non		
histidine	non		
adenosine phosphate	non		
methionine	non		
leucine	non		
threonine	non		
alanine	non		
valine	non		
isoleucine	non		
atp	non		
proline	non		
asparagine	non		
erythromycin	non		
guanosine-5'-monophosphate	non		
cytidine-5'-triphosphate	non		
uridine monophosphate	non		
d-serine	non		
pyrophosphoric acid	non		
histidine	non		
adenosine phosphate	non		
methionine	non		
leucine	non		
threonine	non		
alanine	non		
valine	non		
isoleucine	non		
atp	non		
proline	non		
asparagine	non		
kanamycin	non		
guanosine-5'-monophosphate	non		
cytidine-5'-triphosphate	non		
uridine monophosphate	non		
d-serine	non		
pyrophosphoric acid	non		
histidine	non		
adenosine phosphate	non		
methionine	non		
leucine	non		
threonine	non		
alanine	non		
valine	non		
isoleucine	non		
atp	non		
proline	non		
asparagine	non		
framycetin	non		
guanosine-5'-monophosphate	non		
cytidine-5'-triphosphate	non		
uridine monophosphate	non		
d-serine	non		
pyrophosphoric acid	non		
histidine	non		
adenosine phosphate	non		
methionine	non		
leucine	non		
threonine	non		
alanine	non		
valine	non		
isoleucine	non		
atp	non		
proline	non		
asparagine	non		
netilmicin	non		
guanosine-5'-monophosphate	non		
cytidine-5'-triphosphate	non		
uridine monophosphate	non		
d-serine	non		
pyrophosphoric acid	non		
histidine	non		
adenosine phosphate	non		
methionine	non		
leucine	non		
threonine	non		
alanine	non		
valine	non		
isoleucine	non		
atp	non		
proline	non		
asparagine	non		
streptomycin	non		
guanosine-5'-monophosphate	non		
cytidine-5'-triphosphate	non		
uridine monophosphate	non		
d-serine	non		
pyrophosphoric acid	non		
histidine	non		
adenosine phosphate	non		
methionine	non		
leucine	non		
threonine	non		
alanine	non		
valine	non		
isoleucine	non		
atp	non		
proline	non		
asparagine	non		
clomocycline	non		
guanosine-5'-monophosphate	non		
cytidine-5'-triphosphate	non		
uridine monophosphate	non		
d-serine	non		
pyrophosphoric acid	non		
pyridoxal phosphate	non		
histidine	non		
aspartic acid	non		
glutamic acid	non		
nadh	non		
calcium	non		
zinc	non		
pantothenic acid	non		
dihydrouracil	non		
beta-alanine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
uracil	non		
histidine	non		
adenosine phosphate	non		
methionine	non		
leucine	non		
threonine	non		
alanine	non		
valine	non		
isoleucine	non		
atp	non		
proline	non		
asparagine	non		
tobramycin	non		
guanosine-5'-monophosphate	non		
cytidine-5'-triphosphate	non		
uridine monophosphate	non		
d-serine	non		
pyrophosphoric acid	non		
histidine	non		
adenosine phosphate	non		
methionine	non		
leucine	non		
threonine	non		
alanine	non		
valine	non		
isoleucine	non		
atp	non		
proline	non		
asparagine	non		
rolitetracycline	non		
guanosine-5'-monophosphate	non		
cytidine-5'-triphosphate	non		
uridine monophosphate	non		
d-serine	non		
pyrophosphoric acid	non		
pyridoxal phosphate	non		
tetrahydrofolic acid	non		
histidine	non		
pyruvic acid	non		
biotin	non		
aspartic acid	non		
l-glutamine	non		
adenosine phosphate	non		
serine	non		
glutamic acid	non		
glycine	non		
nadh	non		
atp	non		
asparagine	non		
magnesium cation	non		
trans-urocanic acid	non		
flavin adenine dinucleotide	non		
pyrophosphoric acid	non		
pyridoxal phosphate	non		
tetrahydrofolic acid	non		
histidine	non		
ademetionine	non		
adenosine phosphate	non		
glutamic acid	non		
nadh	non		
atp	non		
calcium	non		
zinc	non		
trans-urocanic acid	non		
beta-alanine	non		
flavin adenine dinucleotide	non		
1-methylhistidine	non		
pyrophosphoric acid	non		
pyridoxal phosphate	non		
tetrahydrofolic acid	non		
histidine	non		
ademetionine	non		
adenosine phosphate	non		
glutamic acid	non		
nadh	non		
atp	non		
calcium	non		
zinc	non		
trans-urocanic acid	non		
beta-alanine	non		
flavin adenine dinucleotide	non		
1-methylhistidine	non		
pyrophosphoric acid	non		
histidine	non		
adenosine phosphate	non		
methionine	non		
leucine	non		
threonine	non		
alanine	non		
valine	non		
isoleucine	non		
atp	non		
proline	non		
asparagine	non		
clarithromycin	non		
guanosine-5'-monophosphate	non		
cytidine-5'-triphosphate	non		
uridine monophosphate	non		
d-serine	non		
pyrophosphoric acid	non		
histidine	non		
adenosine phosphate	non		
methionine	non		
leucine	non		
threonine	non		
alanine	non		
valine	non		
isoleucine	non		
atp	non		
proline	non		
asparagine	non		
roxithromycin	non		
guanosine-5'-monophosphate	non		
cytidine-5'-triphosphate	non		
uridine monophosphate	non		
d-serine	non		
pyrophosphoric acid	non		
histidine	non		
adenosine phosphate	non		
methionine	non		
leucine	non		
threonine	non		
alanine	non		
valine	non		
isoleucine	non		
atp	non		
proline	non		
asparagine	non		
gentamicin	non		
guanosine-5'-monophosphate	non		
cytidine-5'-triphosphate	non		
uridine monophosphate	non		
d-serine	non		
pyrophosphoric acid	non		
histidine	non		
adenosine phosphate	non		
methionine	non		
leucine	non		
threonine	non		
alanine	non		
valine	non		
isoleucine	non		
atp	non		
proline	non		
asparagine	non		
oxytetracycline	non		
guanosine-5'-monophosphate	non		
cytidine-5'-triphosphate	non		
uridine monophosphate	non		
d-serine	non		
pyrophosphoric acid	non		
histidine	non		
adenosine phosphate	non		
methionine	non		
leucine	non		
threonine	non		
alanine	non		
valine	non		
isoleucine	non		
atp	non		
proline	non		
asparagine	non		
tetracycline	non		
guanosine-5'-monophosphate	non		
cytidine-5'-triphosphate	non		
uridine monophosphate	non		
d-serine	non		
pyrophosphoric acid	non		
histidine	non		
adenosine phosphate	non		
methionine	non		
leucine	non		
threonine	non		
alanine	non		
valine	non		
isoleucine	non		
atp	non		
proline	non		
asparagine	non		
guanosine-5'-monophosphate	non		
cytidine-5'-triphosphate	non		
uridine monophosphate	non		
d-serine	non		
pyrophosphoric acid	non		
arbekacin	non		
histidine	non		
ademetionine	non		
histidine	non		
adenosine phosphate	non		
methionine	non		
leucine	non		
threonine	non		
alanine	non		
valine	non		
isoleucine	non		
atp	non		
proline	non		
asparagine	non		
guanosine-5'-monophosphate	non		
cytidine-5'-triphosphate	non		
uridine monophosphate	non		
d-serine	non		
pyrophosphoric acid	non		
histidine	non		
adenosine phosphate	non		
methionine	non		
leucine	non		
threonine	non		
alanine	non		
valine	non		
isoleucine	non		
atp	non		
proline	non		
asparagine	non		
josamycin	non		
guanosine-5'-monophosphate	non		
cytidine-5'-triphosphate	non		
uridine monophosphate	non		
d-serine	non		
pyrophosphoric acid	non		
pyridoxal phosphate	non		
histidine	non		
aspartic acid	non		
glutamic acid	non		
nadh	non		
calcium	non		
zinc	non		
pantothenic acid	non		
dihydrouracil	non		
beta-alanine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
uracil	non		
histidine	non		
adenosine phosphate	non		
methionine	non		
leucine	non		
threonine	non		
alanine	non		
valine	non		
isoleucine	non		
atp	non		
proline	non		
asparagine	non		
telithromycin	non		
guanosine-5'-monophosphate	non		
cytidine-5'-triphosphate	non		
uridine monophosphate	non		
d-serine	non		
pyrophosphoric acid	non		
histidine	non		
adenosine phosphate	non		
methionine	non		
leucine	non		
threonine	non		
alanine	non		
valine	non		
isoleucine	non		
atp	non		
proline	non		
asparagine	non		
amikacin	non		
guanosine-5'-monophosphate	non		
cytidine-5'-triphosphate	non		
uridine monophosphate	non		
d-serine	non		
pyrophosphoric acid	non		
histidine	non		
adenosine phosphate	non		
methionine	non		
leucine	non		
threonine	non		
alanine	non		
valine	non		
isoleucine	non		
atp	non		
proline	non		
asparagine	non		
spectinomycin	non		
guanosine-5'-monophosphate	non		
cytidine-5'-triphosphate	non		
uridine monophosphate	non		
d-serine	non		
pyrophosphoric acid	non		
histidine	non		
adenosine phosphate	non		
methionine	non		
leucine	non		
threonine	non		
alanine	non		
valine	non		
isoleucine	non		
atp	non		
proline	non		
asparagine	non		
demeclocycline	non		
guanosine-5'-monophosphate	non		
cytidine-5'-triphosphate	non		
uridine monophosphate	non		
d-serine	non		
pyrophosphoric acid	non		
histidine	non		
adenosine phosphate	non		
methionine	non		
leucine	non		
threonine	non		
alanine	non		
valine	non		
isoleucine	non		
atp	non		
proline	non		
asparagine	non		
doxycycline	non		
guanosine-5'-monophosphate	non		
cytidine-5'-triphosphate	non		
uridine monophosphate	non		
d-serine	non		
pyrophosphoric acid	non		
histidine	non		
adenosine phosphate	non		
methionine	non		
leucine	non		
threonine	non		
alanine	non		
valine	non		
isoleucine	non		
atp	non		
proline	non		
asparagine	non		
minocycline	non		
guanosine-5'-monophosphate	non		
cytidine-5'-triphosphate	non		
uridine monophosphate	non		
d-serine	non		
pyrophosphoric acid	non		
histidine	non		
pyridoxal phosphate	non		
tetrahydrofolic acid	non		
ademetionine	non		
pyruvic acid	non		
arginine	non		
adenosine phosphate	non		
serine	non		
methionine	non		
glutamic acid	non		
glycine	non		
creatine	non		
cysteine	non		
nadh	non		
alanine	non		
atp	non		
aminolevulinic acid	non		
magnesium cation	non		
zinc	non		
n,n-dimethylglycine	non		
glycocyamine	non		
3-hydroxypyruvic acid	non		
orotidylic acid	non		
flavin adenine dinucleotide	non		
pyruvaldehyde	non		
formaldehyde	non		
2-amino-3-ketobutyric acid	non		
d-serine	non		
pyrophosphoric acid	non		
glyoxylic acid	non		
dexfosfoserine	non		
2-oxobutanoic acid	non		
pyridoxal phosphate	non		
ademetionine	non		
ascorbic acid	non		
aspartic acid	non		
tyrosine	non		
glutamic acid	non		
nadh	non		
sapropterin	non		
norepinephrine	non		
epinephrine	non		
dopamine	non		
levodopa	non		
calcium	non		
magnesium cation	non		
iron	non		
zinc	non		
2-(3,4-dihydroxyphenyl)acetic acid	non		
acetoacetic acid	non		
methylamine	non		
1,2-dihydroxybenzene	non		
flavin adenine dinucleotide	non		
pyrroloquinoline quinone	non		
maleic acid	non		
4-hydroxyphenylpyruvic acid	non		
homogentisic acid	non		
pyridoxal phosphate	non		
ademetionine	non		
ascorbic acid	non		
tyrosine	non		
norepinephrine	non		
epinephrine	non		
dopamine	non		
levodopa	non		
iron	non		
pyrroloquinoline quinone	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
tetrahydrofolic acid	non		
histidine	non		
ademetionine	non		
adenosine phosphate	non		
glutamic acid	non		
nadh	non		
atp	non		
calcium	non		
zinc	non		
trans-urocanic acid	non		
beta-alanine	non		
flavin adenine dinucleotide	non		
1-methylhistidine	non		
pyrophosphoric acid	non		
tetrahydrofolic acid	non		
ademetionine	non		
choline	non		
methionine	non		
nadh	non		
atp	non		
adenosine	non		
potassium cation	non		
magnesium cation	non		
zinc	non		
n,n-dimethylglycine	non		
flavin adenine dinucleotide	non		
pyrophosphoric acid	non		
betaine aldehyde	non		
pyridoxal phosphate	non		
tetrahydrofolic acid	non		
ademetionine	non		
choline	non		
adenosine phosphate	non		
serine	non		
methionine	non		
glycine	non		
cysteine	non		
nadh	non		
atp	non		
adenosine	non		
potassium cation	non		
magnesium cation	non		
zinc	non		
putrescine	non		
n,n-dimethylglycine	non		
4-methylthio-2-oxobutanoic acid	non		
flavin adenine dinucleotide	non		
spermidine	non		
pyrophosphoric acid	non		
l-homoserine	non		
2-oxobutanoic acid	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
n(5)-[(hydroxyamino)(imino)methyl]-l-ornithine	non		
flavin adenine dinucleotide	non		
flavin mononucleotide	non		
urea	non		
pyrophosphoric acid	non		
maleic acid	non		
4-carboxy-4-aminobutanal	non		
pyridoxal phosphate	non		
tetrahydrofolic acid	non		
histidine	non		
ademetionine	non		
adenosine phosphate	non		
glutamic acid	non		
nadh	non		
atp	non		
calcium	non		
zinc	non		
trans-urocanic acid	non		
beta-alanine	non		
flavin adenine dinucleotide	non		
1-methylhistidine	non		
pyrophosphoric acid	non		
pyridoxal phosphate	non		
ademetionine	non		
ascorbic acid	non		
aspartic acid	non		
tyrosine	non		
glutamic acid	non		
nadh	non		
sapropterin	non		
norepinephrine	non		
epinephrine	non		
dopamine	non		
levodopa	non		
calcium	non		
magnesium cation	non		
iron	non		
zinc	non		
2-(3,4-dihydroxyphenyl)acetic acid	non		
acetoacetic acid	non		
methylamine	non		
1,2-dihydroxybenzene	non		
flavin adenine dinucleotide	non		
pyrroloquinoline quinone	non		
maleic acid	non		
4-hydroxyphenylpyruvic acid	non		
homogentisic acid	non		
ademetionine	non		
atp	non		
phenytoin	non		
potassium cation	non		
calcium	non		
magnesium cation	non		
mesoheme	non		
flavin adenine dinucleotide	non		
uridine-5'-diphosphate	non		
pyridoxal phosphate	non		
ademetionine	non		
arginine	non		
aspartic acid	non		
ornithine	non		
adenosine phosphate	non		
succinic acid	non		
glutamic acid	non		
glycine	non		
creatine	non		
citrulline	non		
nadh	non		
atp	non		
proline	non		
sapropterin	non		
nitric oxide	non		
mesoheme	non		
glycocyamine	non		
3,4-dihydro-2h-pyrrolium-5-carboxylate	non		
